barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,child_woman_ratio,pop_cbms_secondary,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,ratio_child,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_pwd,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,domestic_workers_female,domestic_workers_male,domestic_workers_total
East Kamias,1,0,0,0,0,0,0,1,,3,0.2716,6389,3095,3294,279,150,129,266,135,131,545,285,260,1097,567,530,3999,1943,2056,748,300,448,78,24,54,545,1642,23523.6,1310.0,410,4823.3,205.0,1509.6,64.2,6.42,94.0,32.18,261.7,2832.0,3.5,1.27,30.94,3.59,3.271,19.56,0.0,38.0,14.0,24.0,1.834862385,1.834862385,3.846153846,3.50877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escopa 1,0,2,0,0,0,0,0,2,,3,0.013,2110,1062,1048,117,64,53,120,59,61,237,123,114,462,237,225,1186,619,567,225,83,142,16,3,13,237,699,162307.7,388.0,131,29846.2,183.9,10076.9,62.1,6.21,101.3,26.87,395.4,1552.0,3.46,1.06,18.97,1.34,2.906,9.3,0.0,25.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478672986,1.908396947,1.883239171,8.438818565,17.54385965,16.2601626,8.888888889,14.08450704,24.09638554,15.26717557,11.0,0.0,11.0
Escopa 2,1,0,0,0,0,0,0,1,,3,0.0211,1683,802,881,112,51,61,123,65,58,235,116,119,354,167,187,946,460,486,148,59,89,15,3,12,235,589,79763.0,280.0,94,13270.1,166.4,4455.0,55.9,5.59,91.0,28.88,458.3,1368.0,3.71,1.08,2.98,1.63,4.234,7.5,0.27,38.0,14.0,24.0,4.255319149,4.255319149,8.403361345,8.620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escopa 3,1,0,0,0,0,0,0,1,,3,0.0897,7985,4080,3905,564,294,270,590,319,271,1154,613,541,1898,998,900,4349,2227,2122,584,242,342,41,9,32,1154,3052,89019.0,1174.0,465,13088.1,147.0,5183.9,58.2,5.82,104.5,26.57,497.4,7475.0,3.68,1.09,41.87,4.29,3.133,7.27,0.54,260.0,90.0,170.0,0.8665511265,0.8665511265,1.848428835,1.63132137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,13.0,87.0
Escopa 4,2,0,0,0,0,0,0,2,,3,0.016,1837,903,934,121,59,62,126,58,68,247,117,130,419,227,192,996,495,501,175,64,111,16,2,14,247,666,114812.5,309.0,98,19312.5,168.2,6125.0,53.3,5.33,96.7,27.27,455.6,1439.0,3.65,1.04,24.62,1.27,2.536,3.55,0.0,69.0,29.0,40.0,8.097165992,8.097165992,15.38461538,17.09401709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairview,9,1,7,0,0,97,0,114,,5,3.1006,61498,30189,31309,3583,1845,1738,3331,1703,1628,6914,3548,3366,12814,6546,6268,36863,18048,18815,4907,2047,2860,574,180,394,6914,19728,19834.2,7771.0,1983,2506.3,126.4,639.6,32.2,3.22,96.4,30.59,341.5,42345.0,3.74,1.11,21.19,5.72,3.654,7.49,1.05,880.0,394.0,486.0,1.301706682,1.301706682,2.673796791,2.536640361,0.0,0.0,0.0,3.530005043,29.12038427,59.58230958,56.95830887,7.569845482,15.47543076,14.81820959,0.0,0.0,0.0,0.0162606914,0.03193969785,0.03312464805,0.1446340758,0.2970885324,0.281848929,0.2037905034,0.3496503497,0.4885197851,0.5042864347,219.0,2.0,221.0
Greater Lagro,5,2,1,0,0,21,0,29,,5,3.5151,23456,11273,12183,960,492,468,1016,502,514,1976,994,982,4038,2090,1948,13895,6740,7155,3547,1449,2098,562,190,372,1976,6014,6672.9,4777.0,1154,1359.0,203.7,328.3,49.2,4.92,92.5,30.5,260.1,14210.0,3.4,1.01,4.69,1.94,3.995,3.53,0.26,179.0,99.0,80.0,2.530364372,2.530364372,5.091649695,5.030181087,0.0,0.0,0.0,0.8665511265,20.66929134,40.85603113,41.83266932,5.200594354,10.78028747,10.04784689,0.0,0.0,0.0,0.08526603001,0.1641631782,0.1774150625,1.012145749,2.036659878,2.012072435,0.5638567804,0.9532888465,1.38026225,1.733102253,85.0,3.0,88.0
Gulod,7,1,2,0,0,15,0,25,,5,1.2836,62505,31625,30880,4316,2243,2073,3890,1938,1952,8206,4181,4025,14693,7689,7004,35350,17978,17372,4256,1777,2479,361,90,271,8206,22899,48695.1,8118.0,2103,6324.4,129.9,1638.4,33.6,3.36,102.4,27.79,422.2,52739.0,3.74,1.08,26.27,5.76,3.367,7.43,0.26,809.0,311.0,498.0,0.8530343651,0.8530343651,1.739130435,1.674240612,0.0,0.0,0.0,0.951022349,3.856041131,7.68442623,7.73993808,1.020894303,2.141633352,1.950838861,0.0,0.0,0.0,0.0159987201,0.03238341969,0.03162055336,0.1218620522,0.248447205,0.2391772303,0.234962406,0.4033884631,0.5627462015,0.4755111745,0.0,0.0,0.0
Holy Spirit,8,6,1,1,0,63,0,79,,2,3.3395,111768,55707,56061,7074,3705,3369,6954,3631,3323,14028,7336,6692,25065,12894,12171,64642,32105,32537,8033,3372,4661,711,212,499,14028,39093,33468.5,13765.0,3411,4121.9,123.2,1021.4,30.5,3.05,99.4,29.11,388.3,91713.0,3.78,1.15,23.15,7.33,3.743,6.25,0.56,916.0,431.0,485.0,0.5702879954,0.5702879954,1.195457262,1.090512541,0.1244864932,0.2145462347,0.2965599051,0.2931691586,9.059534081,18.95877219,17.35059212,2.513464991,5.1762386,4.885993485,1.406469761,2.004008016,4.716981132,0.0536826283,0.107026275,0.1077063924,0.4277159966,0.8965929468,0.8178844057,0.7469189593,1.287277408,1.779359431,1.759014952,85.0,2.0,87.0
Horseshoe,1,0,0,0,0,0,0,1,,4,0.3755,2847,1393,1454,165,85,80,117,64,53,282,149,133,489,250,239,1774,858,916,302,136,166,37,16,21,282,771,7581.9,589.0,157,1568.6,206.9,418.1,55.1,5.51,95.8,32.17,294.0,925.0,3.71,1.11,29.72,10.04,3.726,44.84,0.4,10.0,8.0,2.0,3.546099291,3.546099291,7.518796992,6.711409396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Immaculate Concepcion,3,0,1,0,0,4,0,8,,4,0.5096,7975,3926,4049,320,167,153,390,207,183,710,374,336,1382,732,650,5162,2549,2613,721,271,450,86,26,60,710,2092,15649.5,1329.0,421,2607.9,166.6,826.1,52.8,5.28,97.0,32.76,236.4,3107.0,2.77,1.09,18.73,5.17,3.498,6.78,0.09,47.0,24.0,23.0,4.225352113,4.225352113,8.928571429,8.021390374,0.0,0.0,0.0,2.375296912,10.25641026,21.8579235,19.3236715,2.894356006,6.153846154,5.464480874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaligayahan,6,1,2,0,0,25,0,34,,5,2.5157,60421,29806,30615,3281,1708,1573,3373,1758,1615,6654,3466,3188,12533,6460,6073,36048,17730,18318,5186,2150,3036,388,110,278,6654,19187,24017.6,8181.0,2132,3252.0,135.4,847.5,35.3,3.53,97.4,30.32,331.4,45498.0,3.6,1.14,21.57,4.35,3.544,2.85,0.28,572.0,305.0,267.0,0.9017132552,0.9017132552,1.882057716,1.731102135,0.0,0.0,0.0,0.9380863039,7.411799585,15.47987616,14.22070535,1.994733902,4.116581591,3.86996904,0.0,0.0,0.0,0.01655053706,0.03266372693,0.03355029189,0.1502855425,0.3136762861,0.2885170225,0.1928268415,0.3293807642,0.4651162791,0.469043152,82.0,2.0,84.0
Kalusugan,0,0,0,0,0,1,0,1,,4,0.4294,4721,2298,2423,333,143,190,334,177,157,667,320,347,1150,578,572,2589,1245,1344,315,155,160,16,2,14,667,1817,10994.4,613.0,242,1427.6,129.8,563.6,51.3,5.13,94.8,28.47,420.1,495.0,2.65,1.0,3.21,3.21,4.5,5.38,0.0,23.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994011976,6.369426752,5.649717514,0.8695652174,1.748251748,1.730103806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamuning,1,3,1,0,0,9,0,14,,4,0.4845,12139,5815,6324,560,294,266,549,277,272,1109,571,538,2130,1087,1043,7577,3640,3937,1323,517,806,142,33,109,1109,3239,25054.7,2763.0,710,5702.8,227.6,1465.4,58.5,5.85,92.0,32.43,260.3,5708.0,3.11,1.09,26.4,10.29,3.785,8.69,0.05,96.0,50.0,46.0,0.9017132552,0.9017132552,1.858736059,1.751313485,0.0,0.0,0.0,1.408450704,16.39344262,33.08823529,32.49097473,4.225352113,8.628954938,8.279668813,0.0,0.0,0.0,0.247137326,0.4743833017,0.5159071367,2.705139766,5.576208178,5.253940455,2.267573696,3.722084367,5.80270793,4.225352113,2.0,0.0,2.0
Katipunan,3,0,3,0,0,14,0,20,,1,0.1301,10508,5090,5418,482,255,227,456,217,239,938,472,466,1655,867,788,7116,3458,3658,799,293,506,65,17,48,938,2593,80768.6,796.0,293,6118.4,75.8,2252.1,27.9,2.79,93.9,34.81,251.0,3221.0,3.1,1.04,17.98,3.75,3.205,3.53,0.0,82.0,41.0,41.0,3.198294243,3.198294243,6.43776824,6.355932203,0.0,0.0,0.0,10.23890785,30.70175439,58.57740586,64.51612903,8.459214502,17.76649746,16.14763552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kaunlaran,1,1,2,0,0,7,0,11,,4,0.5512,12101,5859,6242,516,244,272,518,286,232,1034,530,504,1925,973,952,7897,3843,4054,1245,513,732,134,29,105,1034,2959,21953.9,2572.0,748,4666.2,212.5,1357.0,61.8,6.18,93.9,33.5,246.8,2280.0,2.93,1.11,14.38,2.05,2.972,6.09,0.13,77.0,42.0,35.0,0.9671179884,0.9671179884,1.984126984,1.886792453,0.0,0.0,0.0,2.673796791,13.51351351,30.17241379,24.47552448,3.636363636,7.352941176,7.194244604,0.0,0.0,0.0,0.08263779853,0.1602050625,0.17067759,0.9671179884,1.984126984,1.886792453,0.8032128514,1.366120219,1.949317739,1.336898396,0.0,0.0,0.0
Kristong Hari,2,0,1,0,0,0,0,3,,4,0.3392,5979,2803,3176,218,120,98,243,100,143,461,220,241,936,485,451,4058,1924,2134,524,174,350,45,10,35,461,1397,17626.8,736.0,214,2169.8,123.1,630.9,35.8,3.58,88.3,35.69,210.1,1874.0,3.41,1.13,54.36,2.36,2.702,13.78,0.55,33.0,14.0,19.0,4.338394794,4.338394794,8.298755187,9.090909091,0.0,0.0,0.0,4.672897196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krus na Ligas,3,2,0,0,0,3,0,8,,4,0.3549,21287,10539,10748,1144,549,595,1089,565,524,2233,1114,1119,4483,2300,2183,12895,6454,6441,1676,671,1005,133,34,99,2233,6716,59980.3,2954.0,897,8323.5,138.8,2527.5,42.1,4.21,98.1,30.26,309.5,15253.0,3.88,1.16,16.73,8.9,4.102,7.1,1.07,335.0,148.0,187.0,1.343484102,1.343484102,2.680965147,2.692998205,0.0,0.0,0.0,0.0,2.754820937,5.72519084,5.309734513,0.6691947357,1.374255612,1.304347826,0.0,0.0,0.0,0.09395405647,0.1860811314,0.1897713256,0.8956560681,1.787310098,1.795332136,1.193317422,1.990049751,2.980625931,2.229654404,0.0,0.0,0.0
Laging Handa,1,0,2,0,0,5,0,8,,4,0.6222,4804,2114,2690,126,64,62,114,50,64,240,114,126,578,280,298,3246,1423,1823,740,297,443,93,29,64,240,818,7721.0,1370.0,371,2201.9,285.2,596.3,77.2,7.72,78.6,37.95,135.8,1858.0,2.21,1.08,4.89,2.38,3.911,3.49,0.73,19.0,8.0,11.0,4.166666667,4.166666667,7.936507937,8.771929825,0.0,0.0,0.0,5.39083558,43.85964912,78.125,100.0,8.650519031,16.77852349,17.85714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
Libis,1,1,0,0,0,1,0,3,,3,0.1043,4208,2122,2086,274,139,135,229,136,93,503,275,228,792,403,389,2570,1327,1243,343,117,226,46,11,35,503,1295,40345.2,584.0,171,5599.2,138.8,1639.5,40.6,4.06,101.7,29.54,404.1,3068.0,3.42,1.01,39.73,1.56,3.066,10.6,0.33,109.0,53.0,56.0,1.988071571,1.988071571,4.385964912,3.636363636,0.0,0.0,0.0,0.0,4.366812227,10.75268817,7.352941176,1.262626263,2.570694087,2.481389578,0.0,0.0,0.0,0.2376425856,0.4793863854,0.4712535344,1.988071571,4.385964912,3.636363636,2.915451895,4.424778761,8.547008547,5.847953216,1.0,0.0,1.0
Lourdes,0,0,1,0,0,15,0,16,,1,0.7476,4410,2091,2319,100,46,54,143,81,62,243,127,116,563,286,277,2889,1382,1507,715,296,419,122,39,83,243,806,5898.9,915.0,218,1223.9,207.5,291.6,49.4,4.94,90.2,34.17,154.9,18.0,3.0,1.67,16.67,0.0,3.4,11.11,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.587155963,104.8951049,241.9354839,185.1851852,26.64298401,54.15162455,52.44755245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loyola Heights,3,0,0,0,0,10,0,13,,3,2.4018,20907,10025,10882,989,496,493,891,461,430,1880,957,923,4004,2110,1894,12956,6092,6864,2067,866,1201,250,93,157,1880,5884,8704.7,2958.0,1111,1231.6,141.5,462.6,53.1,5.31,92.1,32.83,268.6,8875.0,3.71,1.16,13.35,2.43,3.142,12.5,0.25,112.0,56.0,56.0,1.595744681,1.595744681,3.250270856,3.134796238,0.0,0.0,0.0,0.0,11.22334456,23.25581395,21.69197397,2.497502498,5.279831045,4.739336493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0
Maharlika,0,0,3,0,0,4,0,7,,1,0.3887,4332,2055,2277,144,58,86,164,89,75,308,147,161,623,313,310,2780,1350,1430,621,245,376,86,24,62,308,931,11144.8,768.0,199,1975.8,177.3,512.0,45.9,4.59,90.3,33.01,201.0,3733.0,2.89,1.02,7.35,3.02,3.804,2.99,0.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07537688,24.3902439,53.33333333,44.94382022,6.420545746,12.90322581,12.77955272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0
Malaya,1,0,1,0,0,6,0,8,,4,0.1315,2588,1304,1284,93,42,51,106,51,55,199,93,106,465,266,199,1665,836,829,259,109,150,21,7,14,199,664,19680.6,638.0,187,4851.7,246.5,1422.1,72.3,7.23,101.6,32.03,225.0,2323.0,3.18,1.15,48.22,10.96,3.309,14.39,0.28,23.0,12.0,11.0,5.025125628,5.025125628,9.433962264,10.75268817,0.0,0.0,0.0,5.347593583,56.60377358,109.0909091,117.6470588,12.90322581,30.15075377,22.55639098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mangga,1,0,0,0,0,1,0,2,,3,0.0811,913,439,474,41,20,21,39,16,23,80,36,44,190,86,104,557,273,284,86,44,42,4,1,3,80,270,11257.7,150.0,21,1849.6,164.3,258.9,23.0,2.3,92.6,31.11,264.4,744.0,3.21,1.03,3.02,3.88,4.633,46.55,0.0,7.0,1.0,6.0,12.5,12.5,22.72727273,27.77777778,0.0,0.0,0.0,0.0,25.64102564,43.47826087,62.5,5.263157895,9.615384615,11.62790698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manresa,2,0,1,0,0,7,0,10,,1,0.8319,17159,8758,8401,1192,640,552,1103,562,541,2295,1202,1093,3790,1964,1826,9933,5097,4836,1141,495,646,109,27,82,2295,6085,20626.3,1988.0,449,2389.7,115.9,539.7,26.2,2.62,104.2,28.18,424.8,12962.0,3.14,1.04,28.86,3.51,3.064,21.44,4.0,146.0,55.0,91.0,0.871459695,0.871459695,1.829826167,1.663893511,0.0,0.0,0.0,2.227171492,6.346328196,12.93900185,12.45551601,1.846965699,3.833515882,3.564154786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariana,2,0,3,0,0,15,0,20,,4,1.6531,11471,5071,6400,396,200,196,412,212,200,808,412,396,1639,827,812,7427,3186,4241,1597,646,951,249,80,169,808,2447,6939.1,2334.0,561,1411.9,203.5,339.4,48.9,4.89,79.2,36.97,186.3,682.0,2.94,1.09,20.69,3.02,3.11,6.9,0.0,19.0,11.0,8.0,2.475247525,2.475247525,5.050505051,4.854368932,0.0,0.0,0.0,5.347593583,36.40776699,75.0,70.75471698,9.151921904,18.4729064,18.13784764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,11.0,68.0
Mariblo,1,0,0,0,0,0,0,1,,1,0.1335,3433,1679,1754,150,76,74,185,85,100,335,161,174,646,336,310,2109,1043,1066,343,139,204,44,13,31,335,981,25715.4,638.0,162,4779.0,185.8,1213.5,47.2,4.72,95.7,31.05,281.5,2047.0,3.28,1.08,58.72,3.52,2.821,8.43,0.64,9.0,7.0,2.0,2.985074627,2.985074627,5.747126437,6.211180124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marilag,2,0,0,0,1,5,0,8,,3,0.4627,12534,5862,6672,501,252,249,418,250,168,919,502,417,1699,828,871,8334,3935,4399,1582,597,985,146,32,114,919,2618,27088.8,2261.0,758,4886.5,180.4,1638.2,60.5,6.05,87.9,35.1,214.0,3449.0,3.07,1.16,28.71,1.87,2.537,2.22,0.09,54.0,19.0,35.0,2.176278564,2.176278564,4.79616307,3.984063745,0.0,0.0,0.0,0.0,11.96172249,29.76190476,20.0,2.942907593,5.740528129,6.038647343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,49.0
Masagana,1,0,0,0,0,0,0,1,,3,0.164,4166,1903,2263,149,56,93,153,73,80,302,129,173,637,324,313,2646,1231,1415,581,219,362,68,17,51,302,939,25402.4,1033.0,243,6298.8,248.0,1481.7,58.3,5.83,84.1,33.97,201.6,1288.0,3.02,1.13,40.38,8.45,3.525,4.93,0.23,37.0,21.0,16.0,3.311258278,3.311258278,5.780346821,7.751937984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masambong,2,1,0,0,0,9,0,12,,1,0.343,8779,4314,4465,391,194,197,488,255,233,879,449,430,1738,893,845,5221,2567,2654,941,405,536,88,27,61,879,2617,25594.8,1746.0,360,5090.4,198.9,1049.6,41.0,4.1,96.6,30.23,305.0,6440.0,3.47,1.13,53.02,5.72,3.244,12.5,1.19,163.0,82.0,81.0,2.275312856,2.275312856,4.651162791,4.454342984,0.0,0.0,0.0,0.0,18.44262295,38.62660944,35.29411765,5.178365938,10.65088757,10.07838746,0.0,0.0,0.0,0.11390819,0.2239641657,0.2318034307,1.137656428,2.325581395,2.227171492,1.062699256,1.865671642,2.469135802,2.777777778,60.0,2.0,62.0
Matandang Balara,15,2,1,0,0,23,0,41,,3,3.3232,69397,34359,35038,4034,2113,1921,4046,2010,2036,8080,4123,3957,14556,7478,7078,41190,20343,20847,5571,2415,3156,383,110,273,8080,22636,20882.6,9516.0,2429,2863.5,137.1,730.9,35.0,3.5,98.1,30.04,355.9,42131.0,3.51,1.06,16.57,3.08,3.385,8.35,0.75,445.0,192.0,253.0,1.856435644,1.856435644,3.790750569,3.638127577,0.0,0.0,0.0,0.4116920543,5.684626792,11.29666012,11.44278607,1.580104424,3.24950551,3.075688687,0.0,0.0,0.0,0.02881968961,0.05708088361,0.05820891178,0.2475247525,0.5054334091,0.4850836769,0.3590019745,0.6337135615,0.8281573499,0.8233841087,161.0,4.0,165.0
Milagrosa,1,0,1,0,0,8,0,10,,3,0.2695,6775,3186,3589,307,149,158,300,144,156,607,293,314,1057,547,510,4264,1993,2271,847,353,494,112,23,89,607,1664,25139.1,1352.0,353,5016.7,199.6,1309.8,52.1,5.21,88.8,33.52,266.1,2371.0,3.23,1.11,13.22,1.91,3.284,5.18,0.0,87.0,42.0,45.0,1.647446458,1.647446458,3.184713376,3.412969283,0.0,0.0,0.0,2.83286119,26.66666667,51.28205128,55.55555556,7.56859035,15.68627451,14.62522852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,21.0
N. S. Amoranto (Gintong Silahis),1,0,0,0,0,0,0,1,,1,0.2448,5850,2763,3087,183,98,85,253,113,140,436,211,225,1020,503,517,3665,1754,1911,729,295,434,100,32,68,436,1456,23897.1,1160.0,325,4738.6,198.3,1327.6,55.6,5.56,89.5,32.67,216.6,2756.0,3.28,1.14,9.29,4.52,3.99,13.71,0.12,50.0,20.0,30.0,2.293577982,2.293577982,4.444444444,4.739336493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Nagkaisang Nayon,11,2,0,0,0,8,0,21,,5,2.8579,53781,26906,26875,3447,1784,1663,3123,1642,1481,6570,3426,3144,11411,5820,5591,31994,16033,15961,3806,1627,2179,320,104,216,6570,17981,18818.4,6241.0,1582,2183.8,116.0,553.6,29.4,2.94,100.1,29.68,381.1,44958.0,3.47,1.13,11.14,1.31,3.184,2.55,0.41,624.0,298.0,326.0,1.674277017,1.674277017,3.498727735,3.210741389,0.0,0.0,0.0,0.0,2.561639449,5.401755571,4.872107186,0.7010779073,1.430871043,1.374570447,0.0,0.0,0.0,0.03718785445,0.07441860465,0.07433286256,0.304414003,0.6361323155,0.5837711617,0.5254860746,0.9178522258,1.2292563,1.264222503,0.0,0.0,0.0
Nayong Kanluran,1,0,1,0,0,4,0,6,,1,0.1417,2456,1163,1293,115,61,54,103,45,58,218,106,112,446,215,231,1500,715,785,292,127,165,40,10,30,218,664,17332.4,474.0,117,3345.1,193.0,825.7,47.6,4.76,89.9,31.96,280.7,1359.0,2.99,1.1,8.37,0.44,2.591,10.67,0.22,21.0,8.0,13.0,4.587155963,4.587155963,8.928571429,9.433962264,0.0,0.0,0.0,8.547008547,38.83495146,68.96551724,88.88888889,8.968609865,17.31601732,18.60465116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Era,0,0,0,0,0,3,0,3,,6,0.6246,13090,6585,6505,989,531,458,870,466,404,1859,997,862,2994,1512,1482,7563,3798,3765,674,278,396,46,12,34,1859,4853,20957.4,965.0,343,1545.0,73.7,549.2,26.2,2.62,101.2,28.76,439.2,10760.0,3.69,1.09,38.24,13.49,4.039,5.79,0.03,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.448275862,7.425742574,6.43776824,1.002004008,2.024291498,1.984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Fairview,6,1,0,2,0,6,0,15,,5,2.0006,44352,22078,22274,2616,1347,1269,2570,1353,1217,5186,2700,2486,10054,5261,4793,25898,12789,13109,3214,1328,1886,291,94,197,5186,15240,22169.3,4795.0,1328,2396.8,108.1,663.8,29.9,2.99,99.1,29.56,360.1,31104.0,3.75,1.11,12.84,2.74,3.358,4.05,0.7,793.0,285.0,508.0,1.156961049,1.156961049,2.413515688,2.222222222,0.6222775358,1.060445387,1.506024096,0.0,2.33463035,4.930156122,4.4345898,0.596777402,1.251825579,1.140467592,6.872852234,10.15228426,21.27659574,0.02254689755,0.04489539373,0.04529395779,0.1928268415,0.4022526146,0.3703703704,0.3111387679,0.5302226935,0.7530120482,0.7530120482,89.0,3.0,92.0
Novaliches Proper,3,3,1,0,0,59,0,66,,5,0.6573,15435,7723,7712,934,495,439,910,479,431,1844,974,870,3568,1805,1763,9037,4522,4515,986,422,564,89,22,67,1844,5412,23482.4,2150.0,568,3271.0,139.3,864.1,36.8,3.68,100.1,29.25,366.5,12330.0,3.76,1.14,23.28,10.62,3.888,5.83,0.37,821.0,463.0,358.0,1.626898048,1.626898048,3.448275862,3.080082136,0.0,0.0,0.0,1.76056338,64.83516484,136.8909513,123.1732777,16.53587444,33.46568349,32.68698061,0.0,0.0,0.0,0.1943634597,0.3890041494,0.3884500842,1.626898048,3.448275862,3.080082136,3.042596349,5.319148936,7.109004739,5.281690141,3.0,0.0,3.0
