barangay,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,age_0_4,women_15_49,child_woman_ratio,pop_cbms_secondary,cbms_responding_hh,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,domestic_workers_female,domestic_workers_male,domestic_workers_total
Nagkaisang Nayon,,5,2.8579,53781,26906,26875,3447,1784,1663,3123,1642,1481,6570,3426,3144,11411,5820,5591,31994,16033,15961,3806,1627,2179,320,104,216,6570,17981,18818.4,6241.0,1582,2183.8,116.0,553.6,29.4,2.94,100.1,29.68,5634,14785,381.1,44958.0,12944.0,3.47,1.13,11.14,1.31,3.184,2.55,0.41,624.0,298.0,326.0,0,0,0
Nayong Kanluran,,1,0.1417,2456,1163,1293,115,61,54,103,45,58,218,106,112,446,215,231,1500,715,785,292,127,165,40,10,30,218,664,17332.4,474.0,117,3345.1,193.0,825.7,47.6,4.76,89.9,31.96,192,684,280.7,1359.0,454.0,2.99,1.1,8.37,0.44,2.591,10.67,0.22,21.0,8.0,13.0,0,0,0
New Era,,6,0.6246,13090,6585,6505,989,531,458,870,466,404,1859,997,862,2994,1512,1482,7563,3798,3765,674,278,396,46,12,34,1859,4853,20957.4,965.0,343,1545.0,73.7,549.2,26.2,2.62,101.2,28.76,1592,3625,439.2,10760.0,2913.0,3.69,1.09,38.24,13.49,4.039,5.79,0.03,6.0,4.0,2.0,0,0,0
North Fairview,,5,2.0006,44352,22078,22274,2616,1347,1269,2570,1353,1217,5186,2700,2486,10054,5261,4793,25898,12789,13109,3214,1328,1886,291,94,197,5186,15240,22169.3,4795.0,1328,2396.8,108.1,663.8,29.9,2.99,99.1,29.56,4387,12183,360.1,31104.0,8299.0,3.75,1.11,12.84,2.74,3.358,4.05,0.7,793.0,285.0,508.0,89,3,92
Novaliches Proper,,5,0.6573,15435,7723,7712,934,495,439,910,479,431,1844,974,870,3568,1805,1763,9037,4522,4515,986,422,564,89,22,67,1844,5412,23482.4,2150.0,568,3271.0,139.3,864.1,36.8,3.68,100.1,29.25,1556,4246,366.5,12330.0,3278.0,3.76,1.14,23.28,10.62,3.888,5.83,0.37,821.0,463.0,358.0,3,0,3
Obrero,,4,0.249,9500,4806,4694,525,238,287,514,242,272,1039,480,559,1911,1053,858,5746,2924,2822,804,349,455,71,26,45,1039,2950,38152.6,1372.0,430,5510.0,144.4,1726.9,45.3,4.53,102.4,29.71,867,2509,345.6,6446.0,1868.0,3.45,1.11,15.85,6.75,3.978,21.34,0.75,47.0,24.0,23.0,0,0,0
Old Capitol Site,,4,0.1817,1319,632,687,85,46,39,63,28,35,148,74,74,223,117,106,864,401,463,84,40,44,6,1,5,148,371,7259.2,698.0,248,3841.5,529.2,1364.9,188.0,18.8,92.0,35.1,126,417,302.2,1047.0,273.0,3.84,1.22,3.3,1.83,4.149,17.22,0.73,108.0,30.0,78.0,0,0,0
Paang Bundok,,1,0.1651,4806,2321,2485,175,91,84,234,112,122,409,203,206,959,497,462,2844,1383,1461,594,238,356,68,20,48,409,1368,29109.6,1225.0,222,7419.7,254.9,1344.6,46.2,4.62,93.4,30.4,337,1341,251.3,2840.0,879.0,3.23,1.1,15.36,1.25,2.981,9.46,0.34,62.0,36.0,26.0,32,1,33
Pag-ibig sa Nayon,,1,0.3717,5915,2848,3067,312,168,144,356,170,186,668,338,330,1187,561,626,3557,1742,1815,503,207,296,40,7,33,668,1855,15913.4,741.0,163,1993.5,125.3,438.5,27.6,2.76,92.9,30.68,560,1644,340.6,4396.0,1556.0,2.83,1.03,17.67,4.11,3.654,8.78,0.0,8.0,5.0,3.0,0,0,0
Paligsahan,,4,0.5788,3518,1735,1783,143,78,65,105,57,48,248,135,113,549,288,261,2288,1141,1147,433,171,262,38,11,27,248,797,6078.1,1075.0,275,1857.3,305.6,475.1,78.2,7.82,97.3,32.6,215,1006,213.7,3314.0,1408.0,2.35,1.08,1.49,0.64,3.783,7.22,0.43,48.0,28.0,20.0,10,3,13
Paltok,,1,0.6582,18117,8816,9301,980,483,497,958,464,494,1938,947,991,3482,1771,1711,10935,5399,5536,1762,699,1063,193,54,139,1938,5420,27525.1,2724.0,616,4138.6,150.4,935.9,34.0,3.4,94.8,30.56,1630,4937,330.2,9674.0,2577.0,3.75,1.07,38.03,6.79,3.506,14.58,0.27,159.0,58.0,101.0,0,0,0
Pansol,,3,3.3121,35234,17787,17447,2303,1169,1134,2265,1121,1144,4568,2290,2278,8001,4246,3755,20289,10233,10056,2376,1018,1358,188,59,129,4568,12569,10638.0,3744.0,1220,1130.4,106.3,368.3,34.6,3.46,101.9,28.54,3859,9358,412.4,26987.0,7147.0,3.78,1.16,25.51,5.14,3.291,10.04,1.13,383.0,158.0,225.0,68,2,70
Paraiso,,1,0.1537,3537,1745,1792,153,80,73,149,66,83,302,146,156,619,349,270,2274,1104,1170,342,146,196,40,7,33,302,921,23012.4,699.0,149,4547.8,197.6,969.4,42.1,4.21,97.4,33.08,266,1037,256.5,1296.0,369.0,3.51,1.08,18.7,1.36,3.31,11.56,0.0,37.0,17.0,20.0,0,0,0
Pasong Putik Proper,,5,2.3966,39830,19971,19859,2682,1412,1270,2460,1279,1181,5142,2691,2451,9073,4600,4473,22788,11443,11345,2827,1237,1590,265,82,183,5142,14215,16619.4,4902.0,1305,2045.4,123.1,544.5,32.8,3.28,100.6,28.48,4373,10676,409.6,29880.0,8022.0,3.72,1.16,19.82,8.44,3.96,4.67,0.71,417.0,196.0,221.0,4,0,4
Pasong Tamo,,6,4.9821,110572,55488,55084,7076,3669,3407,7080,3713,3367,14156,7382,6774,24008,12440,11568,64500,32286,32214,7908,3380,4528,585,169,416,14156,38164,22193.9,13515.0,3460,2712.7,122.2,694.5,31.3,3.13,100.7,29.13,11947,30019,398.0,82651.0,23697.0,3.49,1.08,22.01,2.79,3.095,6.02,0.24,1409.0,572.0,837.0,395,6,401
Payatas,,2,3.2387,139640,70921,68719,10825,5583,5242,10036,5232,4804,20861,10815,10046,35578,18435,17143,75784,38426,37358,7417,3245,4172,445,119,326,20861,56439,43116.1,15124.0,3507,4669.8,108.3,1082.8,25.1,2.51,103.2,26.75,17627,35911,490.9,130561.0,33440.0,3.9,1.07,28.7,5.8,3.389,4.72,0.33,1578.0,556.0,1022.0,191,5,196
Phil-Am,,1,0.4445,2515,1137,1378,37,18,19,67,28,39,104,46,58,260,144,116,1701,764,937,450,183,267,88,30,58,104,364,5658.0,783.0,167,1761.5,311.3,375.7,66.4,6.64,82.5,37.26,85,771,110.2,1590.0,540.0,2.94,1.08,1.67,0.56,3.733,0.99,0.0,5.0,1.0,4.0,45,1,46
Pinagkaisahan,,4,0.3361,4357,2130,2227,169,83,86,170,101,69,339,184,155,690,352,338,2917,1436,1481,411,158,253,48,14,34,339,1029,12963.4,1213.0,311,3609.0,278.4,925.3,71.4,7.14,95.6,33.99,291,1287,226.1,2562.0,882.0,2.9,1.02,26.87,2.95,2.62,10.05,0.0,27.0,11.0,16.0,3,0,3
Pinyahan,,4,1.5696,21724,10708,11016,1294,667,627,1237,629,608,2531,1296,1235,4196,2141,2055,13323,6568,6755,1674,703,971,151,45,106,2531,6727,13840.5,3739.0,1248,2382.1,172.1,795.1,57.4,5.74,97.2,31.09,2156,6132,351.6,15396.0,4575.0,3.37,1.11,16.79,4.42,3.558,17.33,0.18,177.0,76.0,101.0,0,0,0
Project 6,,1,1.5292,11832,5659,6173,574,275,299,524,275,249,1098,550,548,2170,1100,1070,7263,3490,3773,1301,519,782,160,47,113,1098,3268,7737.4,2598.0,615,1698.9,219.6,402.2,52.0,5.2,91.7,31.89,947,3339,283.6,9312.0,3259.0,2.86,1.04,23.23,15.25,4.267,10.71,0.21,157.0,69.0,88.0,0,0,0
Quirino 2-A,,3,0.1745,4622,2225,2397,195,101,94,199,94,105,394,195,199,821,432,389,2781,1352,1429,626,246,380,82,18,64,394,1215,26487.1,1003.0,237,5747.9,217.0,1358.2,51.3,5.13,92.8,30.92,330,1264,261.1,3041.0,1007.0,3.02,1.06,10.63,1.29,2.981,6.52,0.5,21.0,11.0,10.0,82,3,85
Quirino 2-B,,3,0.1482,3922,1928,1994,132,84,48,157,83,74,289,167,122,585,298,287,2507,1227,1280,541,236,305,66,16,50,289,874,26464.2,910.0,242,6140.4,232.0,1632.9,61.7,6.17,96.7,32.64,237,1112,213.1,2133.0,748.0,2.85,1.14,5.35,0.8,2.951,13.37,0.0,33.0,23.0,10.0,49,9,58
Quirino 2-C,,3,0.075,3189,1576,1613,126,81,45,143,72,71,269,153,116,614,343,271,1936,939,997,370,141,229,62,20,42,269,883,42520.0,691.0,190,9213.3,216.7,2533.3,59.6,5.96,97.7,31.26,227,869,261.2,2243.0,693.0,3.24,1.18,13.42,4.91,3.92,7.94,0.0,45.0,23.0,22.0,1,0,1
Quirino 3-A,,3,0.0565,1056,527,529,39,23,16,32,18,14,71,41,30,143,81,62,748,360,388,94,45,49,8,3,5,71,214,18690.3,262.0,78,4637.2,248.1,1380.5,73.9,7.39,99.6,36.74,63,322,195.7,353.0,114.0,3.1,1.19,16.67,0.88,2.5,2.63,0.0,11.0,5.0,6.0,0,0,0
Ramon Magsaysay,,1,0.3425,14321,7019,7302,735,351,384,728,382,346,1463,733,730,2866,1430,1436,8806,4373,4433,1186,483,703,109,26,83,1463,4329,41813.1,2368.0,590,6913.9,165.4,1722.6,41.2,4.12,96.1,30.95,1227,4014,305.7,11139.0,3661.0,3.04,1.06,13.38,10.35,4.354,8.82,0.19,204.0,86.0,118.0,52,1,53
Roxas,,4,0.4536,10665,5181,5484,521,222,299,547,277,270,1068,499,569,2050,1028,1022,6458,3182,3276,1089,472,617,107,36,71,1068,3118,23511.9,2468.0,577,5440.9,231.4,1272.0,54.1,5.41,94.5,30.72,922,2975,309.9,7594.0,2326.0,3.26,1.04,25.75,3.83,3.327,8.95,1.29,70.0,41.0,29.0,0,0,0
Sacred Heart,,4,0.5287,6089,3022,3067,259,138,121,309,173,136,568,311,257,1036,512,524,3814,1911,1903,671,288,383,73,27,46,568,1604,11516.9,1367.0,347,2585.6,224.5,656.3,57.0,5.7,98.5,31.25,480,1689,284.2,3211.0,1234.0,2.6,1.03,12.07,1.13,2.663,12.41,1.14,80.0,35.0,45.0,0,0,0
Salvacion,,1,0.2107,6681,3268,3413,319,171,148,282,146,136,601,317,284,1119,611,508,4031,1967,2064,930,373,557,101,27,74,601,1720,31708.6,1421.0,271,6744.2,212.7,1286.2,40.6,4.06,95.8,30.89,493,1766,279.2,4294.0,1297.0,3.31,1.07,18.5,7.48,4.143,8.67,1.16,51.0,29.0,22.0,0,0,0
San Agustin,,5,1.0089,25336,12592,12744,1616,871,745,1469,792,677,3085,1663,1422,5486,2779,2707,14595,7228,7367,2170,922,1248,171,50,121,3085,8571,25112.5,3989.0,1061,3953.8,157.4,1051.6,41.9,4.19,98.8,29.08,2674,6837,391.1,22276.0,5927.0,3.76,1.15,18.07,3.1,3.528,5.77,1.9,358.0,156.0,202.0,64,0,64
San Antonio,,1,0.7465,22229,11106,11123,1236,634,602,1250,625,625,2486,1259,1227,4573,2328,2245,13231,6726,6505,1939,793,1146,176,50,126,2486,7059,29777.6,3455.0,811,4628.3,155.4,1086.4,36.5,3.65,99.8,29.26,2102,5950,353.3,18628.0,5357.0,3.48,1.04,18.09,7.13,3.755,8.81,0.24,363.0,143.0,220.0,0,0,0
San Bartolome,,5,3.5902,51055,25114,25941,2790,1416,1374,2772,1450,1322,5562,2866,2696,10389,5293,5096,30259,14980,15279,4845,1975,2870,423,122,301,5562,15951,14220.7,8039.0,2119,2239.2,157.5,590.2,41.5,4.15,96.8,29.93,4666,13957,334.3,36416.0,9624.0,3.78,1.07,17.31,1.36,2.641,7.51,0.33,752.0,352.0,400.0,172,1,173
San Isidro,,4,0.1201,6550,3232,3318,346,175,171,359,194,165,705,369,336,1231,665,566,4083,1988,2095,531,210,321,47,19,28,705,1936,54537.9,1348.0,291,11224.0,205.8,2423.0,44.4,4.44,97.4,31.98,589,1896,310.7,3415.0,1082.0,3.16,1.05,10.91,2.13,3.299,5.55,0.0,6.0,4.0,2.0,0,0,0
San Isidro Labrador,,1,0.2519,6243,3031,3212,251,125,126,256,137,119,507,262,245,1089,546,543,3859,1881,1978,788,342,446,86,34,52,507,1596,24783.6,1227.0,237,4871.0,196.5,940.8,38.0,3.8,94.4,31.68,415,1729,240.0,4765.0,1743.0,2.73,1.02,16.87,3.33,3.528,15.23,0.0,26.0,17.0,9.0,0,0,0
San Jose,,1,0.2822,5844,2859,2985,276,145,131,313,149,164,589,294,295,1199,616,583,3458,1721,1737,598,228,370,59,16,43,589,1788,20708.7,1184.0,234,4195.6,202.6,829.2,40.0,4.0,95.8,29.72,504,1570,321.0,4039.0,1199.0,3.37,1.09,27.36,12.76,4.045,14.28,0.42,38.0,22.0,16.0,1,0,1
San Martin de Porres,,4,0.208,11632,5747,5885,499,271,228,554,281,273,1053,552,501,2091,1073,1018,7576,3733,3843,912,389,523,82,22,60,1053,3144,55923.1,1672.0,503,8038.5,143.7,2418.3,43.2,4.32,97.7,33.04,882,3563,247.5,7391.0,2295.0,3.22,1.07,27.93,24.71,4.401,6.7,0.61,52.0,32.0,20.0,0,0,0
San Roque,,3,0.6515,19079,9183,9896,969,506,463,919,449,470,1888,955,933,3411,1650,1761,12018,5887,6131,1762,691,1071,148,39,109,1888,5299,29284.7,2877.0,1051,4416.0,150.8,1613.2,55.1,5.51,92.8,32.13,1610,5558,289.7,9888.0,2916.0,3.39,1.13,24.79,3.36,3.283,13.49,0.03,93.0,46.0,47.0,34,7,41
San Vicente,,4,0.0938,7160,3556,3604,416,223,193,419,215,204,835,438,397,1501,773,728,4254,2109,2145,570,236,334,62,27,35,835,2336,76332.6,1124.0,283,11982.9,157.0,3017.1,39.5,3.95,98.7,29.96,711,1982,358.7,6300.0,1687.0,3.73,1.11,20.33,11.44,4.09,11.77,0.53,201.0,73.0,128.0,0,0,0
Sangandaan,,6,0.9171,21061,10256,10805,985,531,454,1061,536,525,2046,1067,979,3975,2038,1937,12849,6274,6575,2191,877,1314,283,78,205,2046,6021,22964.8,4158.0,1019,4533.9,197.4,1111.1,48.4,4.84,94.9,31.22,1701,5816,292.5,17390.0,4694.0,3.7,1.07,18.02,10.74,4.151,7.19,0.47,299.0,149.0,150.0,3,0,3
Santol,,4,0.4405,6410,3165,3245,303,148,155,324,173,151,627,321,306,1238,669,569,3872,1893,1979,673,282,391,75,28,47,627,1865,14551.6,1284.0,360,2914.9,200.3,817.3,56.2,5.62,97.5,30.87,520,1762,295.1,4362.0,1265.0,3.45,1.06,22.37,1.03,2.217,7.13,0.95,95.0,49.0,46.0,62,0,62
Sauyo,,6,2.7416,76266,38107,38159,4566,2374,2192,4470,2243,2227,9036,4617,4419,16819,8706,8113,45452,22619,22833,4959,2165,2794,343,92,251,9036,25855,27818.1,8197.0,2277,2989.9,107.5,830.5,29.9,2.99,99.9,29.94,7524,21300,353.2,65445.0,18040.0,3.63,1.04,12.57,3.9,3.733,4.19,0.11,810.0,332.0,478.0,355,6,361
Sienna,,1,0.3872,2009,919,1090,50,23,27,57,18,39,107,41,66,280,150,130,1295,583,712,327,145,182,38,13,25,107,387,5188.5,646.0,132,1668.4,321.6,340.9,65.7,6.57,84.3,35.44,87,586,148.5,22.0,6.0,3.67,1.17,16.67,0.0,2.0,5.56,0.0,6.0,4.0,2.0,29,3,32
Sikatuna Village,,4,0.4169,6094,2855,3239,232,110,122,223,115,108,455,225,230,858,445,413,3891,1840,2051,890,345,545,140,46,94,455,1313,14617.4,1489.0,367,3571.6,244.3,880.3,60.2,6.02,88.1,33.66,383,1744,219.6,1860.0,521.0,3.57,1.25,11.9,1.34,3.305,3.59,0.19,52.0,30.0,22.0,86,2,88
Silangan,,3,0.2249,4814,2331,2483,189,94,95,189,114,75,378,208,170,783,401,382,3135,1525,1610,518,197,321,50,13,37,378,1161,21405.1,897.0,262,3988.4,186.3,1165.0,54.4,5.44,93.9,33.44,324,1416,228.8,2114.0,741.0,2.85,1.06,17.81,2.83,3.975,13.85,0.13,38.0,19.0,19.0,0,0,0
Socorro,,3,1.1764,22198,10507,11691,908,450,458,912,445,467,1820,895,925,3242,1654,1588,15019,7098,7921,2117,860,1257,199,56,143,1820,5062,18869.4,4866.0,1430,4136.3,219.2,1215.6,64.4,6.44,89.9,35.68,1541,7083,217.6,10464.0,3477.0,3.01,1.13,6.96,2.01,3.64,6.51,0.49,383.0,207.0,176.0,1,0,1
South Triangle,,4,1.1251,14451,7095,7356,570,336,234,621,339,282,1191,675,516,2148,1095,1053,9827,4802,5025,1285,523,762,98,21,77,1191,3339,12844.2,2262.0,864,2010.5,156.5,767.9,59.8,5.98,96.5,34.77,984,4211,233.7,6542.0,3051.0,2.14,1.01,6.92,1.02,3.19,6.94,0.1,104.0,51.0,53.0,8,0,8
St. Ignatius,,3,0.2582,2054,893,1161,58,27,31,71,38,33,129,65,64,244,124,120,1330,555,775,351,149,202,69,29,40,129,373,7955.1,434.0,115,1680.9,211.3,445.4,56.0,5.6,76.9,37.73,102,605,168.6,540.0,142.0,3.8,1.41,9.86,0.0,2.676,3.76,0.7,6.0,3.0,3.0,117,6,123
St. Peter,,1,0.2695,4049,1887,2162,139,67,72,152,71,81,291,138,153,589,310,279,2639,1221,1418,530,218,312,75,22,53,291,880,15024.1,911.0,204,3380.3,225.0,757.0,50.4,5.04,87.3,35.02,243,1185,205.1,163.0,46.0,3.54,1.2,8.7,0.0,2.8,13.77,0.0,15.0,11.0,4.0,0,0,0
Sta. Cruz,,1,0.4419,3945,1954,1991,181,98,83,197,112,85,378,210,168,695,378,317,2478,1206,1272,394,160,234,49,15,34,378,1073,8927.4,690.0,202,1561.4,174.9,457.1,51.2,5.12,98.1,32.24,323,1141,283.1,2568.0,892.0,2.88,1.01,5.61,3.36,4.089,12.67,0.11,17.0,8.0,9.0,16,1,17
Sta. Lucia,,5,0.6466,28215,14319,13896,1829,997,832,1745,928,817,3574,1925,1649,6813,3521,3292,15776,7991,7785,2052,882,1170,157,39,118,3574,10387,43635.9,3572.0,858,5524.3,126.6,1326.9,30.4,3.04,103.0,27.59,3029,7343,412.5,23263.0,5944.0,3.91,1.08,21.5,5.65,3.459,5.92,0.29,807.0,357.0,450.0,52,2,54
Sta. Monica,,5,1.6548,51785,25996,25789,3358,1719,1639,3315,1710,1605,6673,3429,3244,11778,6162,5616,29196,14673,14523,4138,1732,2406,333,90,243,6673,18451,31293.8,6006.0,1399,3629.4,116.0,845.4,27.0,2.7,100.8,28.04,5617,13480,416.7,42556.0,11239.0,3.79,1.1,22.4,5.25,3.527,7.87,0.61,331.0,134.0,197.0,4,1,5
Sta. Teresita,,1,0.3376,11752,5671,6081,375,185,190,457,247,210,832,432,400,1720,847,873,7986,3882,4104,1214,510,704,130,42,88,832,2552,34810.4,1581.0,410,4683.1,134.5,1214.5,34.9,3.49,93.3,34.92,669,3541,188.9,2791.0,897.0,3.11,1.14,10.59,1.34,3.044,12.3,0.33,81.0,50.0,31.0,0,0,0
Sto. Cristo,,1,0.5504,25697,12574,13123,1265,651,614,1233,615,618,2498,1266,1232,4527,2357,2170,16312,8005,8307,2360,946,1414,217,62,155,2498,7025,46687.9,2614.0,725,4749.3,101.7,1317.2,28.2,2.82,95.8,32.33,2127,7446,285.7,11928.0,5828.0,2.05,1.02,2.93,1.63,4.113,1.68,0.02,358.0,205.0,153.0,1,0,1
Sto. Domingo (Matalahib),,1,0.9075,11353,5676,5677,651,354,297,640,318,322,1291,672,619,2424,1236,1188,6713,3380,3333,925,388,537,109,37,72,1291,3715,12510.2,1684.0,390,1855.6,148.3,429.8,34.4,3.44,100.0,29.36,1092,3075,355.1,6694.0,2064.0,3.24,1.06,29.17,2.96,2.799,11.49,0.29,,,,62,1,63
Sto. Niño,,4,0.1981,7070,3562,3508,350,176,174,338,159,179,688,335,353,1273,681,592,4391,2258,2133,718,288,430,67,16,51,688,1961,35689.0,1623.0,338,8192.8,229.6,1706.2,47.8,4.78,101.5,30.17,609,1888,322.6,3909.0,1117.0,3.5,1.05,20.14,2.69,3.197,12.2,0.18,40.0,18.0,22.0,24,0,24
Tagumpay,,3,0.0964,2257,1114,1143,144,76,68,129,65,64,273,141,132,531,270,261,1283,642,641,170,61,109,19,4,15,273,804,23412.9,453.0,157,4699.2,200.7,1628.6,69.6,6.96,97.5,28.4,226,591,382.4,1912.0,566.0,3.38,1.14,45.23,2.3,2.268,7.18,0.18,50.0,15.0,35.0,0,0,0
Talayan,,1,0.4939,4402,2267,2135,265,158,107,258,134,124,523,292,231,876,462,414,2579,1337,1242,424,176,248,48,13,35,523,1399,8912.7,687.0,131,1391.0,156.1,265.2,29.8,2.98,106.2,28.21,422,1128,374.1,3419.0,915.0,3.74,1.18,15.96,2.19,3.561,18.19,0.44,43.0,21.0,22.0,0,0,0
Talipapa,,6,1.7303,38921,19180,19741,2058,1000,1058,2114,1057,1057,4172,2057,2115,7651,4015,3636,23774,11759,12015,3324,1349,1975,267,70,197,4172,11823,22493.8,5055.0,1418,2921.5,129.9,819.5,36.4,3.64,97.2,30.87,3443,10893,316.1,23749.0,6680.0,3.56,1.15,18.1,2.72,3.524,4.1,0.27,283.0,148.0,135.0,32,7,39
Tandang Sora,,6,3.9682,83097,41015,42082,4644,2454,2190,4476,2313,2163,9120,4767,4353,16320,8446,7874,49884,24497,25387,7773,3305,4468,689,212,477,9120,25440,20940.7,11604.0,2876,2924.2,139.6,724.8,34.6,3.46,97.5,30.55,7715,23175,332.9,53214.0,17840.0,2.98,1.05,19.25,3.23,3.113,4.06,0.15,1005.0,438.0,567.0,58,2,60
Tatalon,,4,0.9202,55380,27986,27394,3603,1893,1710,3700,1876,1824,7303,3769,3534,12994,6709,6285,31663,16068,15595,3420,1440,1980,226,62,164,7303,20297,60182.6,6498.0,1625,7061.5,117.3,1765.9,29.3,2.93,102.2,28.16,6175,14720,419.5,44256.0,12924.0,3.42,1.05,40.37,9.37,3.589,17.8,0.35,672.0,270.0,402.0,1,0,1
Teachers Village East,,4,0.2183,2401,1066,1335,53,18,35,68,30,38,121,48,73,287,144,143,1632,735,897,361,139,222,61,13,48,121,408,10998.6,709.0,231,3247.8,295.3,1058.2,96.2,9.62,79.9,37.36,101,718,140.7,512.0,153.0,3.35,1.48,9.8,0.65,3.097,4.14,0.0,18.0,10.0,8.0,0,0,0
Teachers Village West,,4,0.2346,2984,1390,1594,96,58,38,105,51,54,201,109,92,471,254,217,1820,849,971,492,178,314,79,16,63,201,672,12719.5,944.0,238,4023.9,316.4,1014.5,79.8,7.98,87.2,32.54,170,819,207.6,781.0,235.0,3.32,1.33,9.79,0.43,2.556,2.43,0.0,16.0,11.0,5.0,0,0,0
U. P. Campus,,4,4.5256,47122,23857,23265,3182,1674,1508,3036,1546,1490,6218,3220,2998,11034,5709,5325,26840,13647,13193,3030,1281,1749,218,56,162,6218,17252,10412.3,4008.0,1110,885.6,85.1,245.3,23.6,2.36,102.5,28.0,5226,12383,422.0,43036.0,11008.0,3.91,1.2,41.17,5.76,3.2,22.32,3.62,232.0,83.0,149.0,38,0,38
U. P. Village,,4,0.3748,3167,1479,1688,88,36,52,83,35,48,171,71,100,407,204,203,2050,983,1067,539,221,318,105,27,78,171,578,8449.8,1029.0,233,2745.5,324.9,621.7,73.6,7.36,87.6,33.69,144,884,162.9,2247.0,620.0,3.62,1.33,5.65,2.26,3.853,3.6,0.0,21.0,11.0,10.0,39,2,41
Ugong Norte,,3,2.7396,6301,2916,3385,525,243,282,394,205,189,919,448,471,889,450,439,3531,1590,1941,962,428,534,117,49,68,919,1808,2300.0,1324.0,317,483.3,210.1,115.7,50.3,5.03,86.1,30.8,834,1601,520.9,552.0,124.0,4.45,2.3,10.48,2.42,3.798,9.68,0.0,,,,0,0,0
Unang Sigaw,,6,0.2139,6508,3396,3112,492,253,239,485,260,225,977,513,464,1615,847,768,3572,1882,1690,344,154,190,24,3,21,977,2592,30425.4,629.0,177,2940.6,96.7,827.5,27.2,2.72,109.1,25.97,828,1608,514.9,4499.0,1183.0,3.8,1.19,39.48,6.26,3.487,14.37,0.93,151.0,49.0,102.0,3,0,3
Valencia,,4,0.4296,10877,5182,5695,535,261,274,483,231,252,1018,492,526,1659,908,751,7020,3366,3654,1180,416,764,117,34,83,1018,2677,25318.9,1388.0,530,3230.9,127.6,1233.7,48.7,4.87,91.0,33.59,872,3187,273.6,1616.0,440.0,3.67,1.21,16.14,2.27,3.34,13.06,0.0,41.0,23.0,18.0,0,0,0
Vasra,,1,0.5406,7334,3690,3644,514,263,251,408,209,199,922,472,450,1515,787,728,4459,2235,2224,438,196,242,28,7,21,922,2437,13566.4,1341.0,352,2480.6,182.8,651.1,48.0,4.8,101.3,30.32,776,2031,382.1,4471.0,1304.0,3.43,1.08,11.73,2.91,3.578,14.38,0.38,205.0,83.0,122.0,0,0,0
Veterans Village,,1,0.5206,12693,6006,6687,461,226,235,513,281,232,974,507,467,2028,1013,1015,8209,3887,4322,1482,599,883,174,52,122,974,3002,24381.5,2392.0,646,4594.7,188.5,1240.9,50.9,5.09,89.8,34.05,832,3697,225.0,4630.0,1645.0,2.81,1.01,14.35,1.88,3.075,0.57,0.06,167.0,75.0,92.0,0,0,0
Villa Maria Clara,,3,0.0841,2405,1125,1280,110,43,67,89,46,43,199,89,110,429,220,209,1415,670,745,362,146,216,55,21,34,199,628,28596.9,629.0,143,7479.2,261.5,1700.4,59.5,5.95,87.9,30.98,166,658,252.3,1414.0,416.0,3.4,1.36,59.62,3.12,2.063,2.24,0.0,14.0,6.0,8.0,18,0,18
West Kamias,,3,0.1805,4044,1997,2047,165,101,64,166,82,84,331,183,148,634,316,318,2620,1309,1311,459,189,270,69,19,50,331,965,22404.4,847.0,266,4692.5,209.4,1473.7,65.8,6.58,97.6,32.42,274,1137,241.0,2218.0,783.0,2.83,1.07,6.51,1.15,3.045,12.49,0.0,14.0,6.0,8.0,0,1,1
West Triangle,,1,0.6752,2416,1086,1330,59,18,41,84,41,43,143,59,84,269,145,124,1597,700,897,407,182,225,85,30,55,143,412,3578.2,862.0,240,1276.7,356.8,355.5,99.3,9.93,81.7,37.13,109,689,158.2,1014.0,375.0,2.7,1.11,1.87,1.33,4.4,0.18,0.0,10.0,7.0,3.0,0,0,0
White Plains,,3,0.5576,3558,1493,2065,74,39,35,73,43,30,147,82,65,355,173,182,2481,1012,1469,575,226,349,117,43,74,147,502,6380.9,792.0,185,1420.4,222.6,331.8,52.0,5.2,72.3,41.29,120,1193,100.6,310.0,82.0,3.78,2.28,4.88,0.0,1.5,0.81,0.0,,,,458,166,624
